,time,Latency
0,1560561840,727666.5561338193
1,1560562740,725762.5819561222
2,1560563640,584923.5669604467
3,1560564540,531019.5442984129
4,1560565440,522355.2167094935
5,1560566340,664796.9639684124
6,1560567240,684350.2472194681
7,1560568140,497479.89593926776
8,1560569040,498480.65380320436
9,1560569940,504561.0778688676
10,1560570840,462227.36896558816
11,1560571740,465893.79535001103
12,1560572640,460586.61877198296
13,1560573540,466397.4319798313
14,1560574440,467498.2633392803
15,1560575340,492561.798947002
16,1560576240,480890.8428178079
17,1560577140,489200.71369964455
18,1560578040,492740.0980715558
19,1560578940,489677.47239948396
20,1560579840,496142.2514447756
21,1560580740,475914.50210460264
22,1560581640,483745.6276057648
23,1560582540,493281.27494006586
24,1560583440,476843.4766490588
25,1560584340,468923.97122589534
26,1560585240,485618.4254559854
27,1560586140,484338.3206637204
28,1560587040,489881.10061173537
29,1560587940,474902.1043332241
30,1560588840,496097.08939078625
31,1560589740,484626.1324333802
32,1560590640,466243.9590365108
33,1560591540,488124.26298878837
34,1560592440,487940.81355404144
35,1560593340,504126.27656017785
36,1560594240,485725.7916227036
37,1560595140,483762.8021097738
38,1560596040,494893.12264235324
39,1560596940,499792.616577488
40,1560597840,483351.80261422007
41,1560598740,482813.88594446296
42,1560599640,477532.8918801608
43,1560600540,492435.0391795727
44,1560601440,485454.9801391506
45,1560602340,485057.03523782233
46,1560603240,490253.3259152591
47,1560604140,498783.6568248781
48,1560605040,485688.7375662916
49,1560605940,478565.73349981377
50,1560606840,483235.74470745586
51,1560607740,517410.26778640144
52,1560608640,495729.7605799781
53,1560609540,615476.6673336126
54,1560610440,518508.5569121429
55,1560611340,432622.9553564087
56,1560612240,419939.8644528724
57,1560613140,421264.61193396687
58,1560614040,351096.5587077364
59,1560614940,342848.606174318
60,1560615840,400513.00946160336
61,1560616740,450145.81696008093
62,1560617640,567863.0143866519
63,1560618540,694190.3131078244
64,1560619440,690552.5961505318
65,1560620340,684849.5595779427
66,1560621240,711241.9965041074
67,1560622140,804353.6836079095
68,1560623040,733347.8919143634
69,1560623940,727932.5982698625
70,1560624840,693320.8561202635
71,1560625740,769785.8795799075
72,1560626640,728053.9000122622
73,1560627540,742400.4101826625
74,1560628440,708883.7028940588
75,1560629340,726430.9091268625
76,1560630240,680785.9441333251
77,1560631140,677889.3783771654
78,1560632040,616936.9859517142
79,1560632940,619095.1056205059
80,1560633840,591298.7970007567
81,1560634740,588080.7937057128
82,1560635640,542813.9676583946
83,1560636540,591749.8243783459
84,1560637440,552780.8436681875
85,1560638340,539351.5399275757
86,1560639240,526594.2204218163
87,1560640140,408019.756268915
88,1560641040,386915.0615694641
89,1560641940,459849.78949184
90,1560642840,557832.4823658477
91,1560643740,469466.9676835741
92,1560644640,467935.9456376306
93,1560645540,449387.8634918078
94,1560646440,496996.8668727084
95,1560647340,510490.18752108986
96,1560648240,507907.1688407586
97,1560649140,518022.2448385212
98,1560650040,498121.65001035464
99,1560650940,505525.7738508144
100,1560651840,499546.3869527209
101,1560652740,486737.15440794727
102,1560653640,485101.89282354305
103,1560654540,491246.9765502394
104,1560655440,484173.6937242535
105,1560656340,485505.61324755684
106,1560657240,486782.9805032247
107,1560658140,507248.25406397885
108,1560659040,492526.65828634
109,1560659940,490810.36094779876
110,1560660840,489197.1235744279
111,1560661740,511025.75225575536
112,1560662640,489699.9939337218
113,1560663540,481970.7293614222
114,1560664440,488153.1839734327
115,1560665340,492362.63595010806
116,1560666240,487833.9571359712
117,1560667140,468425.673995869
118,1560668040,484904.26800513634
119,1560668940,484187.24333127204
120,1560669840,485439.67579114594
121,1560670740,488185.9106650561
122,1560671640,467261.9468932996
123,1560672540,495982.4711499108
124,1560673440,497973.06311716296
125,1560674340,454595.4164875267
126,1560675240,466850.216625672
127,1560676140,474224.4773661708
128,1560677040,491478.768060819
129,1560677940,469417.7388846833
130,1560678840,489792.77485064033
131,1560679740,470127.97204062046
132,1560680640,475897.86153763084
133,1560681540,485657.0047462082
134,1560682440,454145.64728661854
135,1560683340,496927.82437649206
136,1560684240,491535.1330128628
137,1560685140,490288.655365197
138,1560686040,469011.30182898906
139,1560686940,499627.3159748937
140,1560687840,471804.412541314
141,1560688740,479095.8653484467
142,1560689640,486317.8851092715
143,1560690540,498393.85185911285
144,1560691440,482753.3816207001
145,1560692340,462672.6932909657
146,1560693240,489473.18447305507
147,1560694140,472704.26436717587
148,1560695040,464477.0390717397
149,1560695940,414359.0602213024
150,1560696840,415829.1741209772
151,1560697740,407132.5647459754
152,1560698640,395031.38033800985
153,1560699540,356809.33981939015
154,1560700440,318265.95781884494
155,1560701340,345223.1268503137
156,1560702240,397695.74380303884
157,1560703140,449887.17749178334
158,1560704040,580031.3420826617
159,1560704940,688999.9723308439
160,1560705840,679157.8903187383
161,1560706740,682864.8934422092
162,1560707640,714330.4667341798
163,1560708540,785704.4709700437
164,1560709440,732060.1193802279
165,1560710340,724042.5916503204
166,1560711240,675317.2542079656
167,1560712140,745583.5893413904
168,1560713040,718720.2440936657
169,1560713940,724048.7914139978
170,1560714840,674095.0470510623
171,1560715740,703989.1749762956
172,1560716640,673215.3048222564
173,1560717540,652914.3585575982
174,1560718440,600252.7230954672
175,1560719340,614278.9280959225
176,1560720240,574686.1601906855
177,1560721140,551681.6909626428
178,1560722040,524623.1379892497
179,1560722940,471559.2109945236
180,1560723840,377675.69584848185
181,1560724740,369370.26618034556
182,1560725640,472143.8093959359
183,1560726540,394559.6896279556
184,1560727440,395507.7848847984
185,1560728340,408813.3920260388
186,1560729240,439262.28884262993
187,1560730140,491234.7524921609
188,1560731040,476798.3545836194
189,1560731940,486263.7468126562
190,1560732840,513952.0283336752
191,1560733740,547090.7057365322
192,1560734640,538906.7729153255
193,1560735540,537811.796539755
194,1560736440,524624.5995291326
195,1560737340,517686.94459691376
196,1560738240,521019.41091111134
197,1560739140,494621.07166313357
198,1560740040,543869.312315082
199,1560740940,568694.6356099107
200,1560741840,526742.9817441719
201,1560742740,516340.95327500545
202,1560743640,485271.69204223074
203,1560744540,479375.7374481597
204,1560745440,490322.56660131976
205,1560746340,477377.0507809586
206,1560747240,495201.085866837
207,1560748140,485202.36848473386
208,1560749040,505017.0762874286
209,1560749940,477968.7857823364
210,1560750840,455191.450083627
211,1560751740,444806.170120255
212,1560752640,423917.7922954229
213,1560753540,427546.79475208244
214,1560754440,454239.9563216247
215,1560755340,452968.1621953784
216,1560756240,465438.2312209409
217,1560757140,472608.07861209277
218,1560758040,497637.1802988292
219,1560758940,517541.4220115434
220,1560759840,529896.2693214774
221,1560760740,536717.8869123831
222,1560761640,551749.2028470079
223,1560762540,553437.631141052
224,1560763440,564870.0789689415
225,1560764340,554676.1825753597
226,1560765240,517265.48050648946
227,1560766140,546149.7748119342
228,1560767040,538088.8902408686
229,1560767940,462249.40840319265
230,1560768840,462682.7570840623
231,1560769740,482648.6126645879
232,1560770640,482523.6307596805
233,1560771540,499982.8504051195
234,1560772440,490276.3340271914
235,1560773340,500985.5396682575
236,1560774240,491246.0562713683
237,1560775140,495274.2844829733
238,1560776040,485585.47731637117
239,1560776940,498416.2563150339
240,1560777840,493796.18594369077
241,1560778740,491921.6190917173
242,1560779640,493125.2270647536
243,1560780540,488942.26173066295
244,1560781440,462797.2205807567
245,1560782340,447314.41384094744
246,1560783240,400863.7797819792
247,1560784140,416471.4512054261
248,1560785040,400972.79685569514
249,1560785940,390677.6879497272
250,1560786840,321562.403971701
251,1560787740,341673.87788527267
252,1560788640,410272.8349279149
253,1560789540,455336.56680470955
254,1560790440,569198.8893614026
255,1560791340,706937.7879016754
256,1560792240,686557.560602737
257,1560793140,707959.6207462735
258,1560794040,705855.9140892287
259,1560794940,824902.3268810619
260,1560795840,749968.0651421935
261,1560796740,754640.3718828091
262,1560797640,673651.4479717535
263,1560798540,725507.2721240137
264,1560799440,714462.303365945
265,1560800340,740241.3141556273
266,1560801240,710582.9789777446
267,1560802140,711512.8966107675
268,1560803040,678093.3196982045
269,1560803940,652117.0967846366
270,1560804840,593898.9460626764
271,1560805740,614430.9788118707
272,1560806640,587208.0396541174
273,1560807540,592543.9310768986
274,1560808440,517240.78607211844
275,1560809340,579385.3904714981
276,1560810240,522593.6369851737
277,1560811140,503656.47258591617
278,1560812040,518065.8829328623
279,1560812940,585196.3676827519
280,1560813840,567110.6124337015
281,1560814740,614928.5027669667
282,1560815640,619105.5540510333
283,1560816540,702435.4176874139
284,1560817440,676682.1347290183
285,1560818340,684195.1779568236
286,1560819240,716862.4367768626
287,1560820140,746327.581621467
288,1560821040,736857.0342698536
289,1560821940,725369.4942093021
290,1560822840,725583.66282181
291,1560823740,720404.420458803
292,1560824640,668988.3091291995
293,1560825540,686433.0173888224
294,1560826440,628411.4886333306
295,1560827340,517983.50138347596
296,1560828240,489762.7941114633
